Id,Target
10580_1610_C1_1,13 25 0 2 21
10580_1610_C1_2,13 25 0 2 21
10580_1756_B1_1,13 25 0 2 21
10580_1756_B1_2,13 25 0 2 21
10580_1758_B1_1,13 25 0 2 21
10580_1758_B1_2,13 25 0 2 21
10814_50_A1_1,6
10814_50_A1_2,6
10814_51_A1_1,6
10814_51_A1_2,6
10814_856_E12_1,6
10814_856_E12_2,6
11311_88_G2_1,25 6
11311_88_G2_2,25 6
11311_89_G2_1,25 6
11311_89_G2_2,25 6
11311_90_G2_1,25 6
11311_90_G2_2,25 6
11651_1601_F3_3,23 0
11651_1601_F3_4,23 0
11651_1611_B3_2,23 0
11651_1611_B3_3,23 0
11651_1732_F3_13_cr580610dc203b9,23 0
11651_1732_F3_18_cr580610e574a5b,23 0
1183_50_A11_1,21
1183_50_A11_2,21
1183_51_A11_1,21
1183_51_A11_2,21
1183_52_A11_1,21
1183_52_A11_2,21
1223_79_E2_1,2
1223_79_E2_2,2
1223_80_E2_1,2
1223_80_E2_2,2
1223_81_E2_1,2
1223_81_E2_2,2
1312_59_F4_1,4 6
1312_59_F4_2,4 6
1312_60_F4_1,4 6
1312_60_F4_2,4 6
1312_61_F4_1,4 6
1312_61_F4_2,4 6
1400_29_C2_1,25 27
1400_29_C2_2,25 27
1400_31_C2_1,25 27
1400_31_C2_2,25 27
1400_973_A2_5,25 27
1400_973_A2_6,25 27
14118_1553_B5_2,2
14118_1553_B5_3,2
14118_1566_F12_1,2
14118_1566_F12_2,2
14118_1568_F12_1,2
14118_1568_F12_2,2
1648_13_E5_1,25
1648_13_E5_2,25
1648_14_E5_1,25
1648_14_E5_2,25
1648_16_E5_1,25
1648_16_E5_2,25
16884_133_F2_1,25 0
16884_133_F2_2,25 0
16884_134_F2_1,25 0
16884_134_F2_2,25 0
16884_135_F2_1,25 0
16884_135_F2_2,25 0
16995_138_C2_1,4
16995_138_C2_2,4
16995_139_C2_1,4
16995_139_C2_2,4
16995_166_C2_1,4
16995_166_C2_2,4
18517_1042_H5_1,23 19
18517_1042_H5_3,23 19
18517_117_C9_1,23 19
18517_117_C9_2,23 19
18517_1764_H1_3,23 19
18517_1764_H1_5,23 19
18683_1055_C9_1,18 0
18683_1055_C9_2,18 0
18683_1142_C9_1,18 0
18683_1142_C9_3,18 0
18683_1395_G2_1,18 0
18683_1395_G2_2,18 0
19206_1046_C8_4,21
19206_1046_C8_6,21
19206_1165_F8_1,21
19206_1165_F8_2,21
19206_154_C9_1,21
19206_154_C9_2,21
19477_183_F8_1,25 7
19477_183_F8_2,25 7
19477_185_F8_1,25 7
19477_185_F8_2,25 7
19477_242_F8_3,25 7
19477_242_F8_4,25 7
19545_183_F6_1,23
19545_183_F6_2,23
19545_185_F6_1,23
19545_185_F6_2,23
19545_242_F6_1,23
19545_242_F6_2,23
19585_152_H8_1,7
19585_152_H8_2,7
19585_198_H8_1,7
19585_198_H8_2,7
19763_234_C2_1,14
19763_234_C2_2,14
19763_235_C2_1,14
19763_235_C2_2,14
19763_535_C2_1,14
19763_535_C2_2,14
20280_1126_B6_1,25 21
20280_1126_B6_3,25 21
20280_1293_C3_1,25 21
20280_1293_C3_4,25 21
20280_182_C1_1,25 21
20280_182_C1_2,25 21
22853_215_E6_1,23
22853_215_E6_2,23
22853_216_E6_1,23
22853_216_E6_2,23
22853_217_E6_1,23
22853_217_E6_2,23
22869_236_F8_1,25 1
22869_236_F8_2,25 1
22869_237_F8_1,25 1
22869_237_F8_2,25 1
22869_268_F8_1,25 1
22869_268_F8_2,25 1
22961_192_C3_1,25 0
22961_192_C3_2,25 0
22961_193_C3_1,25 0
22961_193_C3_2,25 0
22961_194_C3_1,25 0
22961_194_C3_2,25 0
23043_192_C4_1,23
23043_192_C4_2,23
23043_193_C4_1,23
23043_193_C4_2,23
23043_194_C4_1,23
23043_194_C4_2,23
23048_263_B4_1,23 0
23048_263_B4_2,23 0
23048_264_B4_1,23 0
23048_264_B4_2,23 0
23048_277_B4_1,23 0
23048_277_B4_2,23 0
23623_192_D12_1,25 21
23623_192_D12_2,25 21
23623_193_D12_1,25 21
23623_193_D12_2,25 21
23623_194_D12_1,25 21
23623_194_D12_2,25 21
23708_236_D12_1,25 0
23708_236_D12_2,25 0
23708_237_D12_1,25 0
23708_237_D12_2,25 0
23708_268_D12_1,25 0
23708_268_D12_2,25 0
23972_278_E7_1,1
23972_278_E7_2,1
23972_279_E7_1,1
23972_279_E7_2,1
23972_280_E7_1,1
23972_280_E7_2,1
24457_195_E7_1,25 0
24457_195_E7_2,25 0
24457_196_E7_1,25 0
24457_196_E7_2,25 0
24457_197_E7_1,25 0
24457_197_E7_2,25 0
24573_239_C7_1,2 25
24573_239_C7_2,2 25
24573_240_C7_1,2 25
24573_240_C7_2,2 25
24573_241_C7_1,2 25
24573_241_C7_2,2 25
2561_56_B11_1,25
2561_56_B11_2,25
2561_57_B11_1,25
2561_57_B11_4,25
2561_58_B11_1,25
2561_58_B11_2,25
261_56_H9_1,25 12
261_56_H9_2,25 12
261_57_H9_1,25 12
261_57_H9_2,25 12
27021_1746_D1_2,0 25 7
27021_1746_D1_3,0 25 7
27021_249_B11_1,0 25 7
27021_249_B11_2,0 25 7
27021_251_B11_1,0 25 7
27021_251_B11_2,0 25 7
27218_230_H4_1,25 0
27218_230_H4_2,25 0
27218_231_H4_1,25 0
27218_231_H4_2,25 0
27218_232_H4_1,25 0
27218_232_H4_2,25 0
28086_1695_H1_18_cr57d81acbe63b0,25
28086_1695_H1_8_cr58008561c9706,25
28086_1702_E9_31,25
28086_1702_E9_32,25
28490_505_H2_1,4 18 0
28490_505_H2_2,4 18 0
28490_508_H2_1,4 18 0
28490_508_H2_2,4 18 0
28490_548_H2_1,4 18 0
28490_548_H2_2,4 18 0
28660_1386_A3_1,22
28660_1386_A3_2,22
29179_1168_B11_3,26 21
29179_1168_B11_4,26 21
29179_1257_B11_2,26 21
29179_1257_B11_6,26 21
29179_1766_H10_1,26 21
29179_1766_H10_2,26 21
2954_17_H3_1,5 25 0
2954_17_H3_2,5 25 0
2954_18_H3_1,5 25 0
2954_18_H3_2,5 25 0
29803_332_H10_3,13 21
29803_332_H10_5,13 21
29803_334_H10_7,13 21
29803_334_H10_9,13 21
30449_298_G3_1,2 25 6
30449_298_G3_2,2 25 6
30449_299_G3_3,2 25 6
30449_299_G3_4,2 25 6
30449_300_G3_8,2 25 6
30449_300_G3_9,2 25 6
