Id,Target
af2c5f2e-bac9-11e8-b2b8-ac1f6b6435d0,14 25
930451c4-bacb-11e8-b2b8-ac1f6b6435d0,13 21
7fcba676-bad9-11e8-b2b9-ac1f6b6435d0,15 25
ba6febf2-bad4-11e8-b2b8-ac1f6b6435d0,16 25
530bfbea-baca-11e8-b2b8-ac1f6b6435d0,14 17 23
6e147bc4-bac5-11e8-b2b7-ac1f6b6435d0,5
4e10aecc-bacc-11e8-b2b8-ac1f6b6435d0,0 25
5135b312-bad2-11e8-b2b8-ac1f6b6435d0,25 7
42ed5d28-bad7-11e8-b2b9-ac1f6b6435d0,4
c5deab72-bad9-11e8-b2b9-ac1f6b6435d0,0 21 25
6a322caa-bad3-11e8-b2b8-ac1f6b6435d0,5
f60586ac-bac7-11e8-b2b7-ac1f6b6435d0,17 7
92c7e608-bad5-11e8-b2b9-ac1f6b6435d0,25
cbfe766e-bace-11e8-b2b8-ac1f6b6435d0,0 14
7929949a-bad4-11e8-b2b8-ac1f6b6435d0,17 25
01c878b4-bac8-11e8-b2b7-ac1f6b6435d0,4
107d6830-bac6-11e8-b2b7-ac1f6b6435d0,0 19
63d95450-bad3-11e8-b2b8-ac1f6b6435d0,13 21
7b6021fc-baca-11e8-b2b8-ac1f6b6435d0,1 4
801e6584-bad2-11e8-b2b8-ac1f6b6435d0,22 3
5ff55b5e-bad3-11e8-b2b8-ac1f6b6435d0,23
9f359f8e-bada-11e8-b2b9-ac1f6b6435d0,25
8617f44e-baca-11e8-b2b8-ac1f6b6435d0,0
0ee3dcd2-bad2-11e8-b2b8-ac1f6b6435d0,14
90629298-bac9-11e8-b2b8-ac1f6b6435d0,11 25
27ca9b0e-bace-11e8-b2b8-ac1f6b6435d0,12
5785ff2c-baca-11e8-b2b8-ac1f6b6435d0,0 21 22
04eef62c-bad6-11e8-b2b9-ac1f6b6435d0,0 12 25
f3f555c4-baca-11e8-b2b8-ac1f6b6435d0,25 6 7
fcd88d84-bad2-11e8-b2b8-ac1f6b6435d0,14 16 25
0f0ccc64-bad7-11e8-b2b9-ac1f6b6435d0,0 16 25
b32dd958-bad9-11e8-b2b9-ac1f6b6435d0,0
d8c2d794-bacb-11e8-b2b8-ac1f6b6435d0,4
c58128ec-bac7-11e8-b2b7-ac1f6b6435d0,23 4
7c1f771c-bac7-11e8-b2b7-ac1f6b6435d0,14 25
4d3576d4-bac9-11e8-b2b8-ac1f6b6435d0,0 21 25
858112e4-bad5-11e8-b2b9-ac1f6b6435d0,12 25
e2c8f934-bad1-11e8-b2b8-ac1f6b6435d0,14 25
4883f35c-bac6-11e8-b2b7-ac1f6b6435d0,4
e7413d12-bad3-11e8-b2b8-ac1f6b6435d0,0 19 25
e75331f2-bad8-11e8-b2b9-ac1f6b6435d0,14 16
32647078-bad6-11e8-b2b9-ac1f6b6435d0,0 25
72c9bb82-bac7-11e8-b2b7-ac1f6b6435d0,17 21 4
3323fc06-bad4-11e8-b2b8-ac1f6b6435d0,0 19
83509894-bad2-11e8-b2b8-ac1f6b6435d0,13
49ba5fae-bacb-11e8-b2b8-ac1f6b6435d0,0 12
8f8c19a6-bacf-11e8-b2b8-ac1f6b6435d0,0
11107ebc-bac7-11e8-b2b7-ac1f6b6435d0,14 25
628d6c5c-bad9-11e8-b2b9-ac1f6b6435d0,25 6
18452b34-bada-11e8-b2b9-ac1f6b6435d0,0 1
1f97ea4a-bad3-11e8-b2b8-ac1f6b6435d0,0
89b31fae-bad2-11e8-b2b8-ac1f6b6435d0,0 16
acffd8c0-bad3-11e8-b2b8-ac1f6b6435d0,1
dbb37228-bad1-11e8-b2b8-ac1f6b6435d0,4
d0bb0bfe-bac9-11e8-b2b8-ac1f6b6435d0,0
9ded793a-bacb-11e8-b2b8-ac1f6b6435d0,25 4
d6a07ae2-bad1-11e8-b2b8-ac1f6b6435d0,5
df8d2780-bac8-11e8-b2b8-ac1f6b6435d0,14 16 25
b9acf08a-bac9-11e8-b2b8-ac1f6b6435d0,0 16
9a1c1804-bad3-11e8-b2b8-ac1f6b6435d0,21 25
2e2f56fa-bacf-11e8-b2b8-ac1f6b6435d0,0 19
869a7f8c-bac9-11e8-b2b8-ac1f6b6435d0,0 5
8316d286-bad6-11e8-b2b9-ac1f6b6435d0,21 25 6
86926bc4-bad0-11e8-b2b8-ac1f6b6435d0,2
c78652b6-bad6-11e8-b2b9-ac1f6b6435d0,0 21 25
718ebf3e-bada-11e8-b2b9-ac1f6b6435d0,14 16 17 23
9eafcf6a-bacd-11e8-b2b8-ac1f6b6435d0,0 21 25
bf4175b4-bac6-11e8-b2b7-ac1f6b6435d0,21 4
e0f9483a-bacb-11e8-b2b8-ac1f6b6435d0,0 7
b43493dc-bac5-11e8-b2b7-ac1f6b6435d0,11 2
9bd51af2-bad2-11e8-b2b8-ac1f6b6435d0,0 22 7
1189c246-bada-11e8-b2b9-ac1f6b6435d0,12
b478cc78-bad4-11e8-b2b8-ac1f6b6435d0,0 16
ec087d1e-bacf-11e8-b2b8-ac1f6b6435d0,0 16 25
aec4415e-bad9-11e8-b2b9-ac1f6b6435d0,2
59604078-bad9-11e8-b2b9-ac1f6b6435d0,16
8dd19ca8-bacf-11e8-b2b8-ac1f6b6435d0,0
10e592a2-bac6-11e8-b2b7-ac1f6b6435d0,16 19 21 25
2367dd2c-bac6-11e8-b2b7-ac1f6b6435d0,11 16 21
