Id,Target
af2c5f2e-bac9-11e8-b2b8-ac1f6b6435d0,14 25
930451c4-bacb-11e8-b2b8-ac1f6b6435d0,13 21
8ab0ea40-bac7-11e8-b2b7-ac1f6b6435d0,25
ba6febf2-bad4-11e8-b2b8-ac1f6b6435d0,16 25
74993d6e-bad8-11e8-b2b9-ac1f6b6435d0,16
530bfbea-baca-11e8-b2b8-ac1f6b6435d0,14 17 23
2a79281c-bad2-11e8-b2b8-ac1f6b6435d0,12 25 3
5d2711a6-bac9-11e8-b2b8-ac1f6b6435d0,14 16 25
6e147bc4-bac5-11e8-b2b7-ac1f6b6435d0,5
74d557e4-bad4-11e8-b2b8-ac1f6b6435d0,0 25
4e10aecc-bacc-11e8-b2b8-ac1f6b6435d0,0 25
5135b312-bad2-11e8-b2b8-ac1f6b6435d0,25 7
d7935892-bad7-11e8-b2b9-ac1f6b6435d0,12
b37d19de-bac8-11e8-b2b8-ac1f6b6435d0,7
6102912e-bad8-11e8-b2b9-ac1f6b6435d0,23
cf3ce352-bad7-11e8-b2b9-ac1f6b6435d0,0
f60586ac-bac7-11e8-b2b7-ac1f6b6435d0,17 7
ff10925c-baca-11e8-b2b8-ac1f6b6435d0,2
39508fe6-bad3-11e8-b2b8-ac1f6b6435d0,0 16
92c7e608-bad5-11e8-b2b9-ac1f6b6435d0,25
f8f6566a-bac8-11e8-b2b8-ac1f6b6435d0,0 1 16
5661665e-bacf-11e8-b2b8-ac1f6b6435d0,0 17 25
1d3ea824-bace-11e8-b2b8-ac1f6b6435d0,0
cbfe766e-bace-11e8-b2b8-ac1f6b6435d0,0 14
1d1e079c-badb-11e8-b2b9-ac1f6b6435d0,2
88b38a80-bac8-11e8-b2b8-ac1f6b6435d0,16 2
107d6830-bac6-11e8-b2b7-ac1f6b6435d0,0 19
58148166-bacf-11e8-b2b8-ac1f6b6435d0,14 16
db355036-bacd-11e8-b2b8-ac1f6b6435d0,21 7
63d95450-bad3-11e8-b2b8-ac1f6b6435d0,13 21
7b6021fc-baca-11e8-b2b8-ac1f6b6435d0,1 4
bf6c33d0-bad5-11e8-b2b9-ac1f6b6435d0,21 4
801e6584-bad2-11e8-b2b8-ac1f6b6435d0,22 3
4e9ba202-bad6-11e8-b2b9-ac1f6b6435d0,0 5 7
69cbf89a-bace-11e8-b2b8-ac1f6b6435d0,0 16 25
f6b06252-bad6-11e8-b2b9-ac1f6b6435d0,0 16 25
5ff55b5e-bad3-11e8-b2b8-ac1f6b6435d0,23
94ca8c2c-bad9-11e8-b2b9-ac1f6b6435d0,14 25
9f359f8e-bada-11e8-b2b9-ac1f6b6435d0,25
1144d38e-bacb-11e8-b2b8-ac1f6b6435d0,21
8617f44e-baca-11e8-b2b8-ac1f6b6435d0,0
82c1d5f6-bacc-11e8-b2b8-ac1f6b6435d0,14 18 25
43b122d6-bad6-11e8-b2b9-ac1f6b6435d0,0 12 25
0ee3dcd2-bad2-11e8-b2b8-ac1f6b6435d0,14
43357408-bad9-11e8-b2b9-ac1f6b6435d0,17 25
2fcec2b0-bac6-11e8-b2b7-ac1f6b6435d0,18 25
b38c1168-bac9-11e8-b2b8-ac1f6b6435d0,1 2
90629298-bac9-11e8-b2b8-ac1f6b6435d0,11 25
65fe9d4e-bad3-11e8-b2b8-ac1f6b6435d0,14
f3f555c4-baca-11e8-b2b8-ac1f6b6435d0,25 6 7
0f0ccc64-bad7-11e8-b2b9-ac1f6b6435d0,0 16 25
e7a05526-bad4-11e8-b2b8-ac1f6b6435d0,10 9
d8c2d794-bacb-11e8-b2b8-ac1f6b6435d0,4
7c1f771c-bac7-11e8-b2b7-ac1f6b6435d0,14 25
4d3576d4-bac9-11e8-b2b8-ac1f6b6435d0,0 21 25
858112e4-bad5-11e8-b2b9-ac1f6b6435d0,12 25
e2c8f934-bad1-11e8-b2b8-ac1f6b6435d0,14 25
4883f35c-bac6-11e8-b2b7-ac1f6b6435d0,4
74bdbb12-bace-11e8-b2b8-ac1f6b6435d0,25 7
32647078-bad6-11e8-b2b9-ac1f6b6435d0,0 25
72c9bb82-bac7-11e8-b2b7-ac1f6b6435d0,17 21 4
3323fc06-bad4-11e8-b2b8-ac1f6b6435d0,0 19
24235d90-bac6-11e8-b2b7-ac1f6b6435d0,2
83509894-bad2-11e8-b2b8-ac1f6b6435d0,13
49ba5fae-bacb-11e8-b2b8-ac1f6b6435d0,0 12
89975d50-bad7-11e8-b2b9-ac1f6b6435d0,15 25
c02bb81c-bac7-11e8-b2b7-ac1f6b6435d0,0 16 17 18
8f8c19a6-bacf-11e8-b2b8-ac1f6b6435d0,0
f665e29c-bad4-11e8-b2b8-ac1f6b6435d0,14 16
0b651912-bad3-11e8-b2b8-ac1f6b6435d0,25
11107ebc-bac7-11e8-b2b7-ac1f6b6435d0,14 25
df533cce-bac7-11e8-b2b7-ac1f6b6435d0,17 18
628d6c5c-bad9-11e8-b2b9-ac1f6b6435d0,25 6
9da67d5c-bac9-11e8-b2b8-ac1f6b6435d0,0 14
1ebc1ad0-bac7-11e8-b2b7-ac1f6b6435d0,13
a7e9e53a-bad1-11e8-b2b8-ac1f6b6435d0,16 25
18452b34-bada-11e8-b2b9-ac1f6b6435d0,0 1
12dea42a-bacd-11e8-b2b8-ac1f6b6435d0,0 16 17 18
1f97ea4a-bad3-11e8-b2b8-ac1f6b6435d0,0
