Id,Target
17809_623_C10_2,2
35840_553_C1_1,8
74192_1714_G1_1,1
36566_406_F4_2,25
52042_868_B12_1,0
8436_101_F1_1,25 2
44873_755_F10_1,25 14 21
56175_917_C2_1,25 0
52185_766_C5_1,2
42610_491_D2_3,23
760_61_C1_1,25
17884_149_G7_1,7 21
15104_165_F5_2,6
40736_758_F7_1,21 7
35469_389_E8_1,25 21
26382_637_H10_2,7
50863_804_B10_1,2
2142_203_G3_1,25 21
40101_539_G3_1,1 0
45910_625_H10_1,2
43069_599_E9_2,23
42123_813_E8_2,5 0
21051_1158_H10_4,25 11
38400_431_C7_1,1 0
66927_1492_C6_3,25 0
47929_1625_F7_2,19
35957_406_H4_2,25 0
59150_1136_A6_2,7
53980_903_D2_1,25
23040_1660_C10_5,11
32054_si3_C5_1,0
308_710_A5_2,0
9021_923_G1_1,25
73073_1578_F5_4,5
74213_1543_F8_2,21
63581_1219_D11_2,24 25 0
62424_1241_B8_2,7
36165_711_A3_2,23
38311_si22_H6_35,25
72387_1668_F5_2,25 0
44980_si24_E8_5,4
28450_1143_H4_4,7 0
27296_290_E7_2,19 25
15022_165_G8_2,25 0
40946_492_B10_1,20 4
62095_1338_F12_3,18
36160_398_E10_2,25 11 14 2
70541_1391_E2_1,25 0
41329_502_B10_2,25 0
70349_1638_A2_1,22
36420_599_C7_2,25 0
40403_420_A10_1,7 2 21
52410_si22_C1_36,0
72852_1350_C4_1,2 21
41224_714_F2_1,25
53529_1472_A6_2,7
35110_390_B9_1,5 0
59841_1045_H5_1,25
50110_899_A8_2,25 1
62889_1273_F5_2,0
26485_212_B2_2,23
55893_883_H10_1,0
19951_221_B8_2,0
66805_1503_F2_1,25 0
26192_665_H8_1,21
35530_si8_E6_4,0
39993_846_F12_1,12 1
34990_574_H10_2,25 7
55998_1401_C1_3,7
52702_885_B6_1,25
36593_592_E5_2,2
30052_si10_G7_8,25
51075_si26_A7_3,0
30518_911_G11_2,0
7208_74_F5_1,0
27319_260_E8_2,0
3049_18_B4_2,0
38328_894_F1_1,0
2691_si11_B10_2,0
8467_9_G12_2,25 0
8419_918_D1_6,25
59602_1013_A11_3,0
54664_906_B5_1,24 25
19391_611_C6_2,25 18
63728_1232_E11_2,22 0 21
58111_si31_B5_3,2
4873_91_C3_1,0
43053_465_E7_2,0
58036_1037_H9_3,5
35138_390_D11_2,12 21
46840_737_A4_2,21
28885_564_H9_2,0
59944_1361_H6_2,4
50999_877_H10_1,25 7
53448_833_B4_1,4 0
37697_442_E9_1,2
55394_879_C8_2,0
17156_620_D4_2,23
61801_1112_F10_1,0
49429_733_G4_4,7
329_951_D1_2,19 0
41082_733_D4_3,23
36569_440_F6_3,0
55674_996_B7_2,22 0 21
