Id,Target
a8d73536-bad8-11e8-b2b9-ac1f6b6435d0,0 23
63ed01a4-bad7-11e8-b2b9-ac1f6b6435d0,14 16
84c046b4-bad4-11e8-b2b8-ac1f6b6435d0,14 16
69cbf89a-bace-11e8-b2b8-ac1f6b6435d0,0 16 25
b9a882d6-bacc-11e8-b2b8-ac1f6b6435d0,14 16
29d1d616-bacd-11e8-b2b8-ac1f6b6435d0,19
f8f6566a-bac8-11e8-b2b8-ac1f6b6435d0,0 16
9edb2498-bad8-11e8-b2b9-ac1f6b6435d0,16
8dd19ca8-bacf-11e8-b2b8-ac1f6b6435d0,0 16 25
adfa9e8e-bac6-11e8-b2b7-ac1f6b6435d0,5
da5b852e-bacb-11e8-b2b8-ac1f6b6435d0,3
df8d2780-bac8-11e8-b2b8-ac1f6b6435d0,16 25
72a6fbf8-bad4-11e8-b2b8-ac1f6b6435d0,16 25
f6b06252-bad6-11e8-b2b9-ac1f6b6435d0,0 16 25
edb5b41e-bad0-11e8-b2b8-ac1f6b6435d0,0 16
0a96bf2c-bad3-11e8-b2b8-ac1f6b6435d0,4
1f97ea4a-bad3-11e8-b2b8-ac1f6b6435d0,0 25
2327a292-bac7-11e8-b2b7-ac1f6b6435d0,5 16
10d4730a-bada-11e8-b2b9-ac1f6b6435d0,0 16
0b651912-bad3-11e8-b2b8-ac1f6b6435d0,16 25
12dea42a-bacd-11e8-b2b8-ac1f6b6435d0,0 16 17 18
b43493dc-bac5-11e8-b2b7-ac1f6b6435d0,2 11
ba6febf2-bad4-11e8-b2b8-ac1f6b6435d0,16 25
58148166-bacf-11e8-b2b8-ac1f6b6435d0,14 16
79970da6-bac8-11e8-b2b8-ac1f6b6435d0,2 16
c02bb81c-bac7-11e8-b2b7-ac1f6b6435d0,0 16 17 18
fcd88d84-bad2-11e8-b2b8-ac1f6b6435d0,16 25
59604078-bad9-11e8-b2b9-ac1f6b6435d0,16
89b31fae-bad2-11e8-b2b8-ac1f6b6435d0,0 16
88b38a80-bac8-11e8-b2b8-ac1f6b6435d0,2 16
adc182fa-bad2-11e8-b2b8-ac1f6b6435d0,0 21
6a322caa-bad3-11e8-b2b8-ac1f6b6435d0,5
869a7f8c-bac9-11e8-b2b8-ac1f6b6435d0,0 5
b478cc78-bad4-11e8-b2b8-ac1f6b6435d0,0 16
e0f9483a-bacb-11e8-b2b8-ac1f6b6435d0,0 7
9eafcf6a-bacd-11e8-b2b8-ac1f6b6435d0,0 21
b7ae02d8-bac9-11e8-b2b8-ac1f6b6435d0,16 17 23
dbdcd95c-bac6-11e8-b2b7-ac1f6b6435d0,5
e7f56384-bad1-11e8-b2b8-ac1f6b6435d0,1
43357408-bad9-11e8-b2b9-ac1f6b6435d0,17 25
c5deab72-bad9-11e8-b2b9-ac1f6b6435d0,0 21
b9acf08a-bac9-11e8-b2b8-ac1f6b6435d0,0 16
e8bae166-bad8-11e8-b2b9-ac1f6b6435d0,2 17
