Id,Target,Split
0d1ec038-bbae-11e8-b2ba-ac1f6b6435d0,7,train
e9b207a0-bbbb-11e8-b2ba-ac1f6b6435d0,25 2,train
8d517934-bbc3-11e8-b2bc-ac1f6b6435d0,25 2,train
101e58e4-bb9e-11e8-b2b9-ac1f6b6435d0,0 7,train
21d88be4-bbae-11e8-b2ba-ac1f6b6435d0,0 2,train
0396a062-bbc7-11e8-b2bc-ac1f6b6435d0,7,train
51accc3a-bbc8-11e8-b2bc-ac1f6b6435d0,7,train
76527ba6-bbc4-11e8-b2bc-ac1f6b6435d0,7,train
f2bf6db2-bbbe-11e8-b2ba-ac1f6b6435d0,0 2,train
d6157ba4-bbc1-11e8-b2bb-ac1f6b6435d0,7,train
02e685cc-bbc9-11e8-b2bc-ac1f6b6435d0,0 25 2,train
1647ab90-bbac-11e8-b2ba-ac1f6b6435d0,7,train
a72eec2c-bbbb-11e8-b2ba-ac1f6b6435d0,2,train
8faa9df6-bbb3-11e8-b2ba-ac1f6b6435d0,7,train
b6e493d2-bbb7-11e8-b2ba-ac1f6b6435d0,0 19,train
8e2bf944-bbc6-11e8-b2bc-ac1f6b6435d0,0 7,train
c5f9de70-bba5-11e8-b2ba-ac1f6b6435d0,25 2,train
c6b4d2ec-bbc4-11e8-b2bc-ac1f6b6435d0,5,train
ec688d54-bbaa-11e8-b2ba-ac1f6b6435d0,0 7,train
32f7ed5c-bbb8-11e8-b2ba-ac1f6b6435d0,5,train
4f50bcde-bbab-11e8-b2ba-ac1f6b6435d0,0 1,train
5f1de6e4-bbb2-11e8-b2ba-ac1f6b6435d0,5,train
ef31f9f2-bba6-11e8-b2ba-ac1f6b6435d0,13,train
c6d2eb64-bb9d-11e8-b2b9-ac1f6b6435d0,0 2,train
ac41dbbe-bba4-11e8-b2ba-ac1f6b6435d0,19 23,train
9786f128-bbbd-11e8-b2ba-ac1f6b6435d0,25 2,train
e178048c-bbbf-11e8-b2bb-ac1f6b6435d0,25 2 21,train
cb92efd0-bba4-11e8-b2ba-ac1f6b6435d0,5,train
b5200fa4-bbc6-11e8-b2bc-ac1f6b6435d0,7,train
070835b6-bbaf-11e8-b2ba-ac1f6b6435d0,3,train
21f4bb5a-bba6-11e8-b2ba-ac1f6b6435d0,0 2,train
153a9f0c-bbc8-11e8-b2bc-ac1f6b6435d0,26,train
a6bd028a-bba0-11e8-b2b9-ac1f6b6435d0,5,train
f48f65cc-bba3-11e8-b2b9-ac1f6b6435d0,2,train
8350ec26-bb9b-11e8-b2b9-ac1f6b6435d0,6,train
c88bd162-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,train
8b89d4fc-bba5-11e8-b2ba-ac1f6b6435d0,0 7,train
5611f952-bbb5-11e8-b2ba-ac1f6b6435d0,1,train
0ddf8a90-bba2-11e8-b2b9-ac1f6b6435d0,25,train
57ec6330-bbc8-11e8-b2bc-ac1f6b6435d0,0 2,train
9a35aa42-bbc0-11e8-b2bb-ac1f6b6435d0,0 25,train
869b66d8-bbb2-11e8-b2ba-ac1f6b6435d0,0 7,train
03f195e6-bb9d-11e8-b2b9-ac1f6b6435d0,0 25,train
0c3db39c-bbb6-11e8-b2ba-ac1f6b6435d0,0 3,train
fdc15996-bba5-11e8-b2ba-ac1f6b6435d0,0 19,train
b2be445e-bbc8-11e8-b2bc-ac1f6b6435d0,0 25,train
d082ccaa-bb9e-11e8-b2b9-ac1f6b6435d0,5,train
7fa3362e-bbc3-11e8-b2bc-ac1f6b6435d0,0 25 2,train
ca6ed68a-bbba-11e8-b2ba-ac1f6b6435d0,0 25,train
b79dcbc0-bbbe-11e8-b2ba-ac1f6b6435d0,0 7,train
940cc122-bb99-11e8-b2b9-ac1f6b6435d0,25,train
75522d6e-bbb0-11e8-b2ba-ac1f6b6435d0,25 4,train
8f37a370-bbac-11e8-b2ba-ac1f6b6435d0,0 25 3,train
cf51770a-bb99-11e8-b2b9-ac1f6b6435d0,2,train
5666db28-bba3-11e8-b2b9-ac1f6b6435d0,25,train
a26902a0-bbb0-11e8-b2ba-ac1f6b6435d0,25 2 6,train
2c16dfc4-bbb4-11e8-b2ba-ac1f6b6435d0,25,train
4d37ba9e-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,train
d89b5068-bba5-11e8-b2ba-ac1f6b6435d0,0 21 7,train
db60158c-bba4-11e8-b2ba-ac1f6b6435d0,25 4 21,train
5972ea44-bbc3-11e8-b2bc-ac1f6b6435d0,20,train
cb2a593c-bb9c-11e8-b2b9-ac1f6b6435d0,0 19,train
87927e14-bbad-11e8-b2ba-ac1f6b6435d0,25,train
1711438e-bbbf-11e8-b2ba-ac1f6b6435d0,0 25,train
40dc6fd8-bba9-11e8-b2ba-ac1f6b6435d0,0 1,train
91d55216-bbb7-11e8-b2ba-ac1f6b6435d0,0 25 2,train
dae07be8-bba3-11e8-b2b9-ac1f6b6435d0,5 7,train
7001fc02-bbb2-11e8-b2ba-ac1f6b6435d0,3 21,train
0f4e5806-bba8-11e8-b2ba-ac1f6b6435d0,0 25,train
34b937ba-bbb1-11e8-b2ba-ac1f6b6435d0,2,train
4f4fcc2a-bba1-11e8-b2b9-ac1f6b6435d0,7,train
78343a06-bbae-11e8-b2ba-ac1f6b6435d0,25 4,train
8a76c376-bbab-11e8-b2ba-ac1f6b6435d0,25 19,train
62981296-bbb1-11e8-b2ba-ac1f6b6435d0,2,train
7d879a12-bbad-11e8-b2ba-ac1f6b6435d0,17 14,train
4e34fa6a-bba4-11e8-b2b9-ac1f6b6435d0,25,train
8097c246-bba2-11e8-b2b9-ac1f6b6435d0,0 2,train
adbd16fc-bbbd-11e8-b2ba-ac1f6b6435d0,0 24 2,train
a6c4ba72-bb99-11e8-b2b9-ac1f6b6435d0,7,train
9f58bdfe-bb9b-11e8-b2b9-ac1f6b6435d0,25 2,train
518267d0-bbb2-11e8-b2ba-ac1f6b6435d0,0 25,train
e42e746a-bbae-11e8-b2ba-ac1f6b6435d0,5,train
7c7ac24e-bbc0-11e8-b2bb-ac1f6b6435d0,3,train
50026656-bbb9-11e8-b2ba-ac1f6b6435d0,0 25,train
a4c71920-bba0-11e8-b2b9-ac1f6b6435d0,0 1 13,train
ba1fe768-bb99-11e8-b2b9-ac1f6b6435d0,0 25,train
05c17e0a-bba6-11e8-b2ba-ac1f6b6435d0,0 7,train
e606e0e8-bbc1-11e8-b2bb-ac1f6b6435d0,25 2,train
15f59b90-bbc3-11e8-b2bc-ac1f6b6435d0,0 25,train
4bcf3b62-bbba-11e8-b2ba-ac1f6b6435d0,0 19 21,train
dd2d2574-bbb0-11e8-b2ba-ac1f6b6435d0,25,train
c11b95d6-bb9d-11e8-b2b9-ac1f6b6435d0,1,train
c7845442-bb9a-11e8-b2b9-ac1f6b6435d0,6,train
0d5b2b08-bbaf-11e8-b2ba-ac1f6b6435d0,26,train
00c15ef6-bba7-11e8-b2ba-ac1f6b6435d0,0 25,train
cdc611d0-bbbb-11e8-b2ba-ac1f6b6435d0,3,train
6a6e9c7e-bbc5-11e8-b2bc-ac1f6b6435d0,2 21,train
1824ea00-bbab-11e8-b2ba-ac1f6b6435d0,7,train
e95822ca-bba8-11e8-b2ba-ac1f6b6435d0,4,train
c8359260-bbaf-11e8-b2ba-ac1f6b6435d0,5 23,train
4aab3c4e-bbca-11e8-b2bc-ac1f6b6435d0,0 25,train
82df9d0a-bb9b-11e8-b2b9-ac1f6b6435d0,7,train
47f8736c-bba8-11e8-b2ba-ac1f6b6435d0,2,train
09d7edb2-bbb0-11e8-b2ba-ac1f6b6435d0,25,train
7282edd0-bbbf-11e8-b2bb-ac1f6b6435d0,2,train
db8f23f6-bbc0-11e8-b2bb-ac1f6b6435d0,0 25,train
c4b864d8-bb9a-11e8-b2b9-ac1f6b6435d0,0 19,train
476ebb12-bb9a-11e8-b2b9-ac1f6b6435d0,0 5,train
5e30d67c-bb9b-11e8-b2b9-ac1f6b6435d0,0 11,train
b6a0f2b8-bba7-11e8-b2ba-ac1f6b6435d0,3,train
3c6966a4-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,train
101a29e0-bbad-11e8-b2ba-ac1f6b6435d0,25 7,train
a0f37696-bbbd-11e8-b2ba-ac1f6b6435d0,4,train
ce6a7eea-bbbc-11e8-b2ba-ac1f6b6435d0,0 25 2 21,train
596bb724-bbbe-11e8-b2ba-ac1f6b6435d0,6,train
1e088386-bbbb-11e8-b2ba-ac1f6b6435d0,0 1,train
ef6bf20a-bbbb-11e8-b2ba-ac1f6b6435d0,25,train
29a28c5a-bbbb-11e8-b2ba-ac1f6b6435d0,0 25,train
843c625c-bbc1-11e8-b2bb-ac1f6b6435d0,2,train
7599175a-bbca-11e8-b2bc-ac1f6b6435d0,0 25,train
f379fa14-bbc4-11e8-b2bc-ac1f6b6435d0,0 21 7,train
fbc2168e-bbb5-11e8-b2ba-ac1f6b6435d0,0 2,train
7a018416-bb9e-11e8-b2b9-ac1f6b6435d0,4,train
7020cab8-bba0-11e8-b2b9-ac1f6b6435d0,25 6,train
77133b3c-bbc1-11e8-b2bb-ac1f6b6435d0,19 23,train
5dfad250-bba7-11e8-b2ba-ac1f6b6435d0,16 25 14,train
7a3d4b46-bbb1-11e8-b2ba-ac1f6b6435d0,11,train
d5f382b6-bbca-11e8-b2bc-ac1f6b6435d0,0 25,train
