Id,Target,Split
5dff4194-bb9f-11e8-b2b9-ac1f6b6435d0,0 19,train
e029c266-bbc2-11e8-b2bc-ac1f6b6435d0,19,train
7bb54204-bbb0-11e8-b2ba-ac1f6b6435d0,0 25,train
3da76cc6-bbc4-11e8-b2bc-ac1f6b6435d0,25,train
29edbb0e-bbba-11e8-b2ba-ac1f6b6435d0,25 26,train
c8f4ecf2-bb99-11e8-b2b9-ac1f6b6435d0,19,train
2ad963e0-bb9e-11e8-b2b9-ac1f6b6435d0,6,train
d5d59992-bbc3-11e8-b2bc-ac1f6b6435d0,0 25,train
004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,0 25,train
882cba3a-bbbf-11e8-b2bb-ac1f6b6435d0,19 7,train
31dec312-bba1-11e8-b2b9-ac1f6b6435d0,0 25,train
19996aae-bba7-11e8-b2ba-ac1f6b6435d0,25,train
09eb7084-bbb1-11e8-b2ba-ac1f6b6435d0,6,train
710577b4-bbb7-11e8-b2ba-ac1f6b6435d0,0 25,train
61908160-bb9f-11e8-b2b9-ac1f6b6435d0,0 19,train
3af8c4fe-bbc7-11e8-b2bc-ac1f6b6435d0,17 21,train
0ae1739a-bbab-11e8-b2ba-ac1f6b6435d0,1 25,train
ae736626-bbc4-11e8-b2bc-ac1f6b6435d0,0 25,train
040c1496-bbb8-11e8-b2ba-ac1f6b6435d0,16 14,train
5353cbcc-bba7-11e8-b2ba-ac1f6b6435d0,0 25,train
ab83241e-bba2-11e8-b2b9-ac1f6b6435d0,19,train
4f50bcde-bbab-11e8-b2ba-ac1f6b6435d0,0 1,train
fc82e684-bbb0-11e8-b2ba-ac1f6b6435d0,9 10,train
46a68f36-bb9d-11e8-b2b9-ac1f6b6435d0,25,train
3768190a-bba6-11e8-b2ba-ac1f6b6435d0,0 25,train
7a5392fe-bba0-11e8-b2b9-ac1f6b6435d0,25,train
6908ed24-bbc2-11e8-b2bb-ac1f6b6435d0,0 18 21 23,train
226882e6-bba2-11e8-b2b9-ac1f6b6435d0,0 25,train
c88bd162-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,train
c0d8b20e-bba0-11e8-b2b9-ac1f6b6435d0,6,train
296f6c58-bbc5-11e8-b2bc-ac1f6b6435d0,12,train
756dc062-bb9a-11e8-b2b9-ac1f6b6435d0,0 16 21,train
3af2d890-bbc3-11e8-b2bc-ac1f6b6435d0,0 5 13,train
4669d992-bba2-11e8-b2b9-ac1f6b6435d0,25,train
49dfd9f6-bbc9-11e8-b2bc-ac1f6b6435d0,0 19,train
03f195e6-bb9d-11e8-b2b9-ac1f6b6435d0,0 25,train
4015f9fc-bbc7-11e8-b2bc-ac1f6b6435d0,0 14,train
872abbe6-bbba-11e8-b2ba-ac1f6b6435d0,0 25,train
f3d6f846-bbc8-11e8-b2bc-ac1f6b6435d0,0 1 19,train
1345b398-bbba-11e8-b2ba-ac1f6b6435d0,18,train
ca6ed68a-bbba-11e8-b2ba-ac1f6b6435d0,0 25,train
5666db28-bba3-11e8-b2b9-ac1f6b6435d0,25,train
5bf76bcc-bbb5-11e8-b2ba-ac1f6b6435d0,0 7,train
4d37ba9e-bbb3-11e8-b2ba-ac1f6b6435d0,0 25,train
68668008-bbbc-11e8-b2ba-ac1f6b6435d0,4 21,train
cd9d7d40-bbb8-11e8-b2ba-ac1f6b6435d0,0 12,train
e640aab4-bba1-11e8-b2b9-ac1f6b6435d0,1,train
1711438e-bbbf-11e8-b2ba-ac1f6b6435d0,0 25,train
8356c6ac-bba8-11e8-b2ba-ac1f6b6435d0,25 19,train
feeb4828-bba9-11e8-b2ba-ac1f6b6435d0,0 25 7,train
11892850-bbc9-11e8-b2bc-ac1f6b6435d0,4 21,train
5575276e-bbb3-11e8-b2ba-ac1f6b6435d0,0 21 14,train
6f38b45a-bb99-11e8-b2b9-ac1f6b6435d0,5,train
829b6456-bbb8-11e8-b2ba-ac1f6b6435d0,25,train
e9a3783a-bbb5-11e8-b2ba-ac1f6b6435d0,21 6,train
63944fea-bbb9-11e8-b2ba-ac1f6b6435d0,0 18 21,train
cdba0782-bbbb-11e8-b2ba-ac1f6b6435d0,0 25 2 22,train
103f4ee0-bbc7-11e8-b2bc-ac1f6b6435d0,25 7,train
3a16ebd4-bbad-11e8-b2ba-ac1f6b6435d0,0 25,train
1ca83380-bbbe-11e8-b2ba-ac1f6b6435d0,1 25,train
ca70f986-bba8-11e8-b2ba-ac1f6b6435d0,0,train
4b4d6ba8-bbb2-11e8-b2ba-ac1f6b6435d0,24 25,train
05058e28-bbad-11e8-b2ba-ac1f6b6435d0,0 19,train
93e81e04-bb9d-11e8-b2b9-ac1f6b6435d0,7,train
2eb40d8c-bbc9-11e8-b2bc-ac1f6b6435d0,0 25,train
ddfeb4dc-bbbe-11e8-b2ba-ac1f6b6435d0,5 7,train
d1d2d550-bba3-11e8-b2b9-ac1f6b6435d0,0,train
36d116f4-bbab-11e8-b2ba-ac1f6b6435d0,0 16,train
137de514-bba2-11e8-b2b9-ac1f6b6435d0,0 25,train
9cfd87a2-bb9f-11e8-b2b9-ac1f6b6435d0,0,train
0b504976-bbad-11e8-b2ba-ac1f6b6435d0,4,train
73d7919a-bba6-11e8-b2ba-ac1f6b6435d0,0 25,train
03339d62-bba6-11e8-b2ba-ac1f6b6435d0,0 2 7,train
e5b9a9c2-bbbc-11e8-b2ba-ac1f6b6435d0,3,train
fae5ad24-bba7-11e8-b2ba-ac1f6b6435d0,14,train
172695a6-bbb3-11e8-b2ba-ac1f6b6435d0,25 18,train
dd9f969c-bbb8-11e8-b2ba-ac1f6b6435d0,21 22,train
2d982978-bbb1-11e8-b2ba-ac1f6b6435d0,0 5,train
b29848c6-bbaa-11e8-b2ba-ac1f6b6435d0,6,train
a9ad2ce8-bbc5-11e8-b2bc-ac1f6b6435d0,0 26,train
4aab3c4e-bbca-11e8-b2bc-ac1f6b6435d0,0 25,train
8c16e414-bb9b-11e8-b2b9-ac1f6b6435d0,0,train
054feace-bbc9-11e8-b2bc-ac1f6b6435d0,19,train
82df9d0a-bb9b-11e8-b2b9-ac1f6b6435d0,7,train
acf6850e-bbbe-11e8-b2ba-ac1f6b6435d0,0 25 13,train
