Id,Target
00070df0-bbc3-11e8-b2bc-ac1f6b6435d0,16 0
000a6c98-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
000a9596-bbc4-11e8-b2bc-ac1f6b6435d0,5
000c99ba-bba4-11e8-b2b9-ac1f6b6435d0,1
001838f8-bbca-11e8-b2bc-ac1f6b6435d0,18
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
0020af02-bbba-11e8-b2ba-ac1f6b6435d0,25 2
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0
00285ce4-bba0-11e8-b2b9-ac1f6b6435d0,2 0
002daad6-bbc9-11e8-b2bc-ac1f6b6435d0,7
002ff91e-bbb8-11e8-b2ba-ac1f6b6435d0,23
00301238-bbb2-11e8-b2ba-ac1f6b6435d0,21
0032a07e-bba9-11e8-b2ba-ac1f6b6435d0,24 0
00344514-bbc2-11e8-b2bb-ac1f6b6435d0,23
00357b1e-bba9-11e8-b2ba-ac1f6b6435d0,6 2
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,25
0038d6a6-bb9a-11e8-b2b9-ac1f6b6435d0,25 0
003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,25
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,0
0042017c-bba4-11e8-b2b9-ac1f6b6435d0,25 11
00456fd2-bb9b-11e8-b2b9-ac1f6b6435d0,7 1 2 0
0047c984-bba6-11e8-b2ba-ac1f6b6435d0,11
00481c70-bba3-11e8-b2b9-ac1f6b6435d0,25 2
004a2b84-bbc4-11e8-b2bc-ac1f6b6435d0,25 0
004b47de-bbca-11e8-b2bc-ac1f6b6435d0,25 3
004bf4c6-bbc6-11e8-b2bc-ac1f6b6435d0,16 6
004d8a0e-bbc4-11e8-b2bc-ac1f6b6435d0,25 2
004efaa2-bba5-11e8-b2ba-ac1f6b6435d0,23
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,25
004f8abc-bbb9-11e8-b2ba-ac1f6b6435d0,12 0
00508c34-bbb7-11e8-b2ba-ac1f6b6435d0,3 0
0051ccbc-bbbb-11e8-b2ba-ac1f6b6435d0,13
00520f22-bb9a-11e8-b2b9-ac1f6b6435d0,14 2 0
0058c62c-bbbe-11e8-b2ba-ac1f6b6435d0,12
005a103a-bbc4-11e8-b2bc-ac1f6b6435d0,25 13 21
005a78ec-bbae-11e8-b2ba-ac1f6b6435d0,7
005ccb94-bbca-11e8-b2bc-ac1f6b6435d0,2
0060269e-bbbc-11e8-b2ba-ac1f6b6435d0,25 4
00626a32-bbab-11e8-b2ba-ac1f6b6435d0,23
0062719a-bbbe-11e8-b2ba-ac1f6b6435d0,25 23
00638dd0-bbac-11e8-b2ba-ac1f6b6435d0,20
0065e36c-bba4-11e8-b2b9-ac1f6b6435d0,2 0
0067a7c0-bbb7-11e8-b2ba-ac1f6b6435d0,1 0
0067c712-bba0-11e8-b2b9-ac1f6b6435d0,25 0
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,0
0067f542-bba1-11e8-b2b9-ac1f6b6435d0,23 0
006a8c72-bbc8-11e8-b2bc-ac1f6b6435d0,5
006cde8a-bbbb-11e8-b2ba-ac1f6b6435d0,21
006f3dde-bbc9-11e8-b2bc-ac1f6b6435d0,22 0 21
006f5b04-bbb3-11e8-b2ba-ac1f6b6435d0,3
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,14
0072d080-bbaf-11e8-b2ba-ac1f6b6435d0,18 0
0074cfce-bbab-11e8-b2ba-ac1f6b6435d0,25 18
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,0
007811e6-bbbc-11e8-b2ba-ac1f6b6435d0,2
007c0304-bbbd-11e8-b2ba-ac1f6b6435d0,11 5
007d009a-bb9c-11e8-b2b9-ac1f6b6435d0,23 0
00822d20-bbc1-11e8-b2bb-ac1f6b6435d0,12 25 21
00855996-bbad-11e8-b2ba-ac1f6b6435d0,0
008761b4-bbad-11e8-b2ba-ac1f6b6435d0,16 14 17
00884f46-bbc3-11e8-b2bc-ac1f6b6435d0,0 21
0088a1b6-bbb5-11e8-b2ba-ac1f6b6435d0,11
0089bdfe-bbc8-11e8-b2bc-ac1f6b6435d0,0 21
008a780e-bb9e-11e8-b2b9-ac1f6b6435d0,21
008a8630-bb9b-11e8-b2b9-ac1f6b6435d0,23
008b8e7c-bbb4-11e8-b2ba-ac1f6b6435d0,1 0
0092d59c-bba5-11e8-b2ba-ac1f6b6435d0,18
00934176-bbaf-11e8-b2ba-ac1f6b6435d0,25 21
0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0,25
0097150a-bbc1-11e8-b2bb-ac1f6b6435d0,23 0
00984a2c-bbaa-11e8-b2ba-ac1f6b6435d0,25 3
00986cb0-bbae-11e8-b2ba-ac1f6b6435d0,5 0
009b8c20-bbc6-11e8-b2bc-ac1f6b6435d0,7
009c104e-bbc8-11e8-b2bc-ac1f6b6435d0,25 0
009d30e6-bbb4-11e8-b2ba-ac1f6b6435d0,0 21
009e88e0-bbc5-11e8-b2bc-ac1f6b6435d0,2
00a71d92-bbb2-11e8-b2ba-ac1f6b6435d0,21
00ab10d6-bba4-11e8-b2b9-ac1f6b6435d0,22 6
00ab56c8-bbad-11e8-b2ba-ac1f6b6435d0,7 14 0
00ad4b4c-bbc4-11e8-b2bc-ac1f6b6435d0,21
00ae0ea6-bb9c-11e8-b2b9-ac1f6b6435d0,25
00b1b8b8-bba5-11e8-b2ba-ac1f6b6435d0,2
00b3659a-bbb0-11e8-b2ba-ac1f6b6435d0,5 0
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,0
00b5ec5e-bbb8-11e8-b2ba-ac1f6b6435d0,19
00b6c386-bba9-11e8-b2ba-ac1f6b6435d0,7
00b8087a-bbc4-11e8-b2bc-ac1f6b6435d0,0 21
00b9bdcc-bbca-11e8-b2bc-ac1f6b6435d0,6
00bd4376-bbbf-11e8-b2ba-ac1f6b6435d0,7
00c15ef6-bba7-11e8-b2ba-ac1f6b6435d0,25 0
00c3f3fc-bbbe-11e8-b2ba-ac1f6b6435d0,12 25
00c58890-bbbc-11e8-b2ba-ac1f6b6435d0,25
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,0
00c9616e-bba7-11e8-b2ba-ac1f6b6435d0,3
00c96be4-bbb8-11e8-b2ba-ac1f6b6435d0,5
00ca1a3a-bbc7-11e8-b2bc-ac1f6b6435d0,23
00cb9586-bbc2-11e8-b2bb-ac1f6b6435d0,3
00d315a6-bbac-11e8-b2ba-ac1f6b6435d0,7 0
00d4f904-bbb4-11e8-b2ba-ac1f6b6435d0,1 4 2 0
00d693c0-bbbb-11e8-b2ba-ac1f6b6435d0,23
00d7d192-bbb9-11e8-b2ba-ac1f6b6435d0,7 0
00db5f9e-bbc1-11e8-b2bb-ac1f6b6435d0,25 2 0 21
